prefix_ratio,model,channel,channel_zh,future_curve_normalized_mse_mean,future_peak_positive_rate,future_peak_accuracy,future_peak_balanced_accuracy,future_peak_f1
0.25,mean_template,assistant_tokens,模型输出波,0.45715131035981404,0.5336333333333333,0.46636666666666665,0.5,0.0
0.25,unsupervised_nmf_prefix_fit,assistant_tokens,模型输出波,0.5262870696556439,0.5336333333333333,0.476,0.5027104040482839,0.17704952361009318
0.25,mean_template,thinking_tokens_est,思考规划波,0.45715131035981404,0.06793333333333333,0.9320666666666667,0.5,0.0
0.25,unsupervised_nmf_prefix_fit,thinking_tokens_est,思考规划波,0.5262870696556439,0.06793333333333333,0.8286666666666667,0.6119403320319972,0.22262552934059285
0.25,mean_template,user_tokens_est,环境反馈波,0.45715131035981404,0.1369,0.8631,0.5,0.0
0.25,unsupervised_nmf_prefix_fit,user_tokens_est,环境反馈波,0.5262870696556439,0.1369,0.8629666666666667,0.5001276253002432,0.0009720534629404617
0.5,mean_template,assistant_tokens,模型输出波,0.42347611298556065,0.1685,0.8315,0.5,0.0
0.5,unsupervised_nmf_prefix_fit,assistant_tokens,模型输出波,0.5007809706494243,0.1685,0.7809,0.5665805424753448,0.27233477250083027
0.5,mean_template,thinking_tokens_est,思考规划波,0.42347611298556065,0.017933333333333332,0.9820666666666666,0.5,0.0
0.5,unsupervised_nmf_prefix_fit,thinking_tokens_est,思考规划波,0.5007809706494243,0.017933333333333332,0.9474333333333333,0.49970266027261123,0.023529411764705882
0.5,mean_template,user_tokens_est,环境反馈波,0.42347611298556065,0.059,0.941,0.5,0.0
0.5,unsupervised_nmf_prefix_fit,user_tokens_est,环境反馈波,0.5007809706494243,0.059,0.8131666666666667,0.5599617548346812,0.1470095875817988
0.75,mean_template,assistant_tokens,模型输出波,0.31969175708176506,0.011766666666666667,0.9882333333333333,0.5,0.0
0.75,unsupervised_nmf_prefix_fit,assistant_tokens,模型输出波,0.33123379653624574,0.011766666666666667,0.9846666666666667,0.4981954329274463,0.0
0.75,mean_template,thinking_tokens_est,思考规划波,0.31969175708176506,0.0017666666666666666,0.9982333333333333,0.5,0.0
0.75,unsupervised_nmf_prefix_fit,thinking_tokens_est,思考规划波,0.33123379653624574,0.0017666666666666666,0.9982333333333333,0.5,0.0
0.75,mean_template,user_tokens_est,环境反馈波,0.31969175708176506,0.022933333333333333,0.9770666666666666,0.5,0.0
0.75,unsupervised_nmf_prefix_fit,user_tokens_est,环境反馈波,0.33123379653624574,0.022933333333333333,0.9770333333333333,0.5006926284655224,0.002894356005788712
