feature_group,target,model_family,features,positive_rate,accuracy,balanced_accuracy,f1,auc,macro_f1,weighted_f1,mae_turns,median_abs_error_turns,r2_log_remaining
stats_only,future_end_within_5,sklearn_hist_gradient_boosting,51,0.0004,0.9997333333333334,0.833266639989329,0.6666666666666666,0.777797538768594,,,,,
stats_only,future_long_output,sklearn_hist_gradient_boosting,51,0.5144,0.7052888888888889,0.7028420942355316,0.7333413761209635,0.778911759335095,,,,,
stats_only,future_overheat,sklearn_hist_gradient_boosting,51,0.5904888888888888,0.6439111111111111,0.604577310881892,0.7316092724105587,0.6815035409565472,,,,,
stats_only,future_peak_any,sklearn_hist_gradient_boosting,51,0.28426666666666667,0.8251555555555555,0.7787511452295539,0.6857827476038338,0.8938038712254025,,,,,
stats_only,pet_state_multiclass,sklearn_hist_gradient_boosting,51,,0.9995555555555555,0.9991570927816582,,,0.9989849645418216,0.9995556699678918,,,
stats_only,remaining_turns_research,sklearn_hist_gradient_boosting,51,,,,,,,,0.5633685600911525,0.4934302607855958,0.9976665063270173
waveform_only,future_end_within_5,sklearn_hist_gradient_boosting,22,0.0004,0.9996,0.7776666222044373,0.5263157894736842,0.8887308009623601,,,,,
waveform_only,future_long_output,sklearn_hist_gradient_boosting,22,0.5144,0.6882666666666667,0.6841006471074035,0.7322696389037331,0.7528879064562422,,,,,
waveform_only,future_overheat,sklearn_hist_gradient_boosting,22,0.5904888888888888,0.5933333333333334,0.5142502846250271,0.734212513797711,0.5643301451322152,,,,,
waveform_only,future_peak_any,sklearn_hist_gradient_boosting,22,0.28426666666666667,0.7951111111111111,0.7545580252747386,0.6470137825421133,0.8613187786268554,,,,,
waveform_only,pet_state_multiclass,sklearn_hist_gradient_boosting,22,,0.6935111111111111,0.3418824766179292,,,0.29448567823155947,0.5775609419457127,,,
waveform_only,remaining_turns_research,sklearn_hist_gradient_boosting,22,,,,,,,,0.4777145813438023,0.46301919616534004,0.9982154445957492
enhanced,future_end_within_5,sklearn_hist_gradient_boosting,71,0.0004,0.9996888888888888,0.8887777333155484,0.6666666666666666,0.999239201853581,,,,,
enhanced,future_long_output,sklearn_hist_gradient_boosting,71,0.5144,0.7129777777777778,0.7107256820875285,0.7387540453074434,0.7908740408360361,,,,,
enhanced,future_overheat,sklearn_hist_gradient_boosting,71,0.5904888888888888,0.6438222222222222,0.6052005729521481,0.7307666465094403,0.681381107184902,,,,,
enhanced,future_peak_any,sklearn_hist_gradient_boosting,71,0.28426666666666667,0.8280444444444445,0.7819002934956554,0.6905542669759258,0.8981740831251026,,,,,
enhanced,pet_state_multiclass,sklearn_hist_gradient_boosting,71,,0.9995555555555555,0.9991570927816582,,,0.9989849645418216,0.9995556699678918,,,
enhanced,remaining_turns_research,sklearn_hist_gradient_boosting,71,,,,,,,,0.4748554030619071,0.46350710978564624,0.9982157792764977
