model,prefix_ratio,channel,channel_zh,positive_rate,majority_accuracy,accuracy,precision,recall,f1
unsupervised_nmf_prefix_fit,0.25,assistant_tokens,模型输出波,0.542,0.542,0.5152,0.5922580645161291,0.33874538745387456,0.4309859154929577
prefix_ridge_to_nmf,0.25,assistant_tokens,模型输出波,0.542,0.542,0.462,0.8571428571428571,0.008856088560885609,0.017531044558071585
mean_template,0.25,assistant_tokens,模型输出波,0.542,0.542,0.458,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.25,thinking_tokens_est,思考规划波,0.06666666666666667,0.9333333333333333,0.6853333333333333,0.11665292662819456,0.566,0.19343814080656183
prefix_ridge_to_nmf,0.25,thinking_tokens_est,思考规划波,0.06666666666666667,0.9333333333333333,0.9305333333333333,0.24390243902439024,0.02,0.03696857670979667
mean_template,0.25,thinking_tokens_est,思考规划波,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.25,user_tokens_est,环境反馈波,0.1368,0.8632,0.8609333333333333,0.13043478260869565,0.0029239766081871343,0.005719733079122974
prefix_ridge_to_nmf,0.25,user_tokens_est,环境反馈波,0.1368,0.8632,0.8632,0.0,0.0,0.0
mean_template,0.25,user_tokens_est,环境反馈波,0.1368,0.8632,0.8632,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.5,assistant_tokens,模型输出波,0.16786666666666666,0.8321333333333334,0.7981333333333334,0.102803738317757,0.026211278792692614,0.04177215189873418
prefix_ridge_to_nmf,0.5,assistant_tokens,模型输出波,0.16786666666666666,0.8321333333333334,0.8276,0.05263157894736842,0.0015885623510722795,0.0030840400925212026
mean_template,0.5,assistant_tokens,模型输出波,0.16786666666666666,0.8321333333333334,0.8321333333333333,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.5,thinking_tokens_est,思考规划波,0.015866666666666668,0.9841333333333333,0.8777333333333334,0.025,0.17647058823529413,0.04379562043795621
prefix_ridge_to_nmf,0.5,thinking_tokens_est,思考规划波,0.015866666666666668,0.9841333333333333,0.9841333333333333,0.0,0.0,0.0
mean_template,0.5,thinking_tokens_est,思考规划波,0.015866666666666668,0.9841333333333333,0.9841333333333333,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.5,user_tokens_est,环境反馈波,0.06,0.94,0.9365333333333333,0.03571428571428571,0.0022222222222222222,0.004184100418410042
prefix_ridge_to_nmf,0.5,user_tokens_est,环境反馈波,0.06,0.94,0.94,0.0,0.0,0.0
mean_template,0.5,user_tokens_est,环境反馈波,0.06,0.94,0.94,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.75,assistant_tokens,模型输出波,0.01,0.99,0.9865333333333334,0.0,0.0,0.0
prefix_ridge_to_nmf,0.75,assistant_tokens,模型输出波,0.01,0.99,0.9849333333333333,0.0,0.0,0.0
mean_template,0.75,assistant_tokens,模型输出波,0.01,0.99,0.99,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.75,thinking_tokens_est,思考规划波,0.0009333333333333333,0.9990666666666667,0.9990666666666667,0.0,0.0,0.0
prefix_ridge_to_nmf,0.75,thinking_tokens_est,思考规划波,0.0009333333333333333,0.9990666666666667,0.9990666666666667,0.0,0.0,0.0
mean_template,0.75,thinking_tokens_est,思考规划波,0.0009333333333333333,0.9990666666666667,0.9990666666666667,0.0,0.0,0.0
unsupervised_nmf_prefix_fit,0.75,user_tokens_est,环境反馈波,0.0228,0.9772,0.9756,0.125,0.011695906432748537,0.0213903743315508
prefix_ridge_to_nmf,0.75,user_tokens_est,环境反馈波,0.0228,0.9772,0.9769333333333333,0.0,0.0,0.0
mean_template,0.75,user_tokens_est,环境反馈波,0.0228,0.9772,0.9772,0.0,0.0,0.0
